tract_name,0,1,2,3,4,5
57.23,2488,576,31,180,2,278
58.11,1823,301,6,111,0,93
58.15,2,633,363,14,59,4,93
58.16,1416,603,18,229,0,215
58.17,1287,1330,43,163,4,377
58.24,3184,537,25,117,2,202
58.26,2765,251,11,161,3,102
58.27,3199,374,10,331,3,64
58.28,3433,186,6,330,2,80
58.29,1572,1182,62,224,2,1091
58.3,1544,364,27,95,5,473
58.32,773,1191,39,44,3,429
58.33,3183,201,10,53,0,108
58.34,953,709,48,111,4,417
58.35,2489,372,9,119,2,356
58.36,2606,184,6,375,0,76
58.39,4266,142,1,219,0,62
58.4,2924,504,14,299,8,171
58.43,2162,124,20,100,1,91
58.45,2361,490,37,296,0,409
58.46,1821,267,9,212,0,175
58.47,1568,189,1,167,1,44
58.48,2189,268,9,500,0,101
58.49,2696,509,11,2138,10,155
58.5,3165,166,6,363,1,49
58.51,3773,346,10,586,0,73
58.52,4202,259,8,399,1,61
58.53,2634,418,7,395,0,85
58.54,1883,195,1,437,2,63
58.55,2869,383,16,576,2,184
58.56,1364,323,5,70,0,151
58.57,1220,395,16,88,0,125
58.58,901,254,7,806,4,107
58.59,3102,618,6,890,1,136
58.6,1246,378,10,848,1,95
58.61,1320,387,10,560,2,92
58.62,2029,813,16,1424,1,206
58.63,2119,244,9,438,1,47
58.64,2272,351,13,1038,2,143
58.65,2085,222,4,444,4,94
58.66,1998,205,7,527,1,47
58.67,2127,314,3,839,3,128
58.68,2891,459,15,1507,1,89
59.08,1673,254,14,60,1,69
59.1,1796,1425,27,142,8,366
59.13,1763,1254,19,317,3,529
59.15,1219,343,12,42,0,151
59.16,1554,286,0,195,1,46
59.18,1771,2253,20,259,7,533
59.19,1984,2029,58,587,3,1202
59.2,852,1114,2,180,0,133
59.21,255,1193,42,97,1,648
59.22,1897,1356,27,428,9,549
59.23,1902,599,29,275,1,557
59.24,869,230,36,99,0,954
59.25,1345,1161,4,453,1,172
59.26,1789,1642,28,574,0,350
59.27,1080,2197,24,725,0,508
59.28,2311,1451,34,369,6,468
59.29,1523,1052,10,210,3,171
59.3,4346,1674,11,417,2,177
59.31,1277,1969,27,523,4,847
59.32,528,368,31,153,0,350
6,1409,1527,9,332,5,300
60.05,910,1000,32,91,10,382
60.08,1732,1212,38,148,10,417
60.09,804,858,6,297,0,211
60.11,1328,1363,33,136,2,441
60.12,1513,1572,12,110,0,231
60.13,1099,1596,12,85,2,237
60.14,681,1900,23,139,0,453
60.15,1188,2148,34,635,3,709
60.16,711,2516,24,98,1,333
61.03,2337,1362,15,112,4,181
61.05,1359,1907,42,138,0,334
61.08,474,1706,70,106,1,781
61.09,2495,1510,14,100,0,109
61.1,1201,1395,18,118,2,171
61.11,776,2991,20,202,0,521
61.12,537,3428,12,107,2,418
61.13,1220,3272,18,195,0,489
61.14,1338,2173,26,255,0,363
61.15,445,1257,7,73,1,226
62.08,1369,1619,17,107,6,134
62.09,803,2538,10,149,0,483
62.1,749,1936,6,183,3,195
62.11,2606,292,12,115,0,141
62.12,3689,521,22,124,2,129
62.14,3741,333,13,196,2,98
62.16,5178,418,5,265,0,142
62.17,2411,609,14,285,4,123
62.18,3341,387,19,79,0,96
62.19,1858,37,0,50,3,36
62.2,3204,131,5,75,0,72
62.21,2545,44,5,66,0,16
62.22,2071,53,3,61,0,30
62.23,2656,66,8,62,2,27
62.24,2824,454,7,136,0,125
63.05,2951,513,19,145,0,91
63.06,1628,587,12,42,2,162
63.07,1748,481,22,143,0,650
63.08,2423,795,4,273,1,67
63.09,1191,242,9,85,0,54
63.1,3740,1137,16,319,0,189
63.11,3438,324,6,171,0,43
64.03,1213,405,17,44,0,392
64.04,2020,222,17,122,0,225
64.07,3662,183,16,86,1,57
64.08,5179,505,31,261,0,155
64.09,6100,188,10,185,0,124
64.1,2714,340,8,146,0,186
64.11,2347,230,8,94,0,98
7,3053,243,6,108,2,29
8,2744,235,9,88,4,158
9,2057,372,10,60,0,220
9801,0,0,0,0,0,0
9802,0,0,0,2,0,2
9803,33,6,1,10,0,0
