name,population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,requestCount
57.14,5816,4670,795,151,332,7,301,282
57.15,3067,2554,293,76,48,3,338,196
57.16,4892,2266,1525,125,388,9,1101,8883
57.18,3677,2336,727,102,211,2,696,195
57.19,3778,2690,635,84,200,6,396,165
57.20,2510,1988,332,48,145,0,191,127
57.21,3447,2894,431,98,92,5,227,213
57.22,2731,1635,644,80,268,7,361,177
57.23,3573,1602,1460,100,187,7,626,2742
58.11,4433,3504,626,95,165,12,411,13669
58.15,3566,3023,307,50,198,8,274,8319
58.16,4303,3496,443,84,398,11,217,7942
58.17,4363,3750,251,62,393,6,235,10381
58.24,4618,2015,1290,109,266,12,1444,3782
58.26,2912,1907,430,71,133,11,786,8276
58.27,2772,1020,1264,93,74,8,639,5195
58.28,3783,3403,225,41,77,3,273,9170
58.29,2511,1179,795,91,143,7,600,466
58.30,3718,2833,444,90,168,3,569,11903
58.32,3406,2761,215,30,421,5,157,4567
58.33,4941,4509,176,47,275,1,191,622
58.34,4260,3235,581,79,346,14,364,241
58.35,2666,2314,166,41,126,5,187,129
58.36,4064,2813,573,101,373,0,699,148
58.39,2763,2074,326,44,245,2,365,3807
58.40,2156,1727,230,42,194,6,152,2919
58.43,3362,2461,330,26,559,5,286,4341
58.45,5926,3072,608,71,2218,16,380,5713
58.46,4059,3466,210,38,408,1,253,6656
58.47,5101,4071,418,64,635,3,245,8858
58.48,5333,4582,334,62,483,4,289,9903
58.49,3826,2896,470,39,434,10,273,5690
58.50,2848,2127,261,38,488,3,218,2416
58.51,4378,3200,461,61,617,2,400,7853
58.52,2140,1577,370,39,98,1,296,3592
58.53,2074,1437,437,67,105,4,280,2934
58.54,2308,1111,300,37,846,6,252,1344
58.55,5222,3541,710,87,963,5,424,4686
58.56,2848,1497,441,41,912,3,254,1661
58.57,2587,1518,426,40,610,5,224,1052
58.58,4962,2458,918,66,1471,7,540,3591
58.59,3102,2339,293,32,509,8,177,4317
58.60,4157,2589,413,63,1119,5,334,2987
58.61,3120,2334,283,65,486,4,235,4541
58.62,3095,2287,256,41,595,6,242,5834
58.63,3706,2410,357,26,906,7,312,5259
58.64,5400,3315,523,87,1590,2,356,5683
58.65,2248,1833,314,36,79,1,177,1310
58.66,4190,2180,1556,91,169,12,635,1200
58.67,4281,2111,1335,68,364,7,810,68
58.68,1961,1391,396,60,58,1,261,113
59.08,2241,1700,336,29,237,1,116,300
59.10,5524,2347,2454,131,318,12,977,5059
59.13,6679,2727,2177,200,643,13,1820,14123
59.15,2477,1009,1207,41,204,6,234,537
59.16,2526,476,1283,94,117,5,855,4761
59.18,4852,2427,1506,119,486,17,917,10721
59.19,3636,2151,643,103,308,3,707,534
59.20,2401,1068,252,96,106,0,1103,261
59.21,3426,1580,1267,37,511,5,333,2130
59.22,4903,2220,1809,121,645,8,669,9593
59.23,4997,1466,2343,77,772,1,832,7567
59.24,5197,2792,1590,103,425,10,867,8118
59.25,3254,1775,1152,58,250,5,322,2438
59.26,7166,4826,1850,89,526,6,442,808
59.27,5109,1639,2151,108,563,14,1145,5212
59.28,1576,670,396,51,163,0,449,2528
59.29,3925,1708,1634,64,361,8,526,4497
59.30,2702,1155,1076,87,119,20,556,4471
59.31,4005,2132,1320,122,193,16,700,6484
59.32,2465,1045,940,47,339,4,399,3411
60.05,3621,1576,1487,107,157,5,631,4821
60.08,3795,1808,1717,92,133,3,415,9683
60.09,3289,1309,1711,71,104,2,374,9213
60.11,3535,977,2024,65,167,9,662,9052
60.12,5100,1502,2289,88,682,10,936,13598
60.13,4002,965,2632,112,133,3,496,7410
60.14,4374,2658,1494,91,156,10,365,7294
60.15,4053,1582,2009,128,158,0,477,11540
60.16,3426,713,1790,144,128,4,960,8767
61.03,4517,2730,1617,95,127,3,257,4196
61.05,3144,1398,1505,63,147,5,287,4423
61.08,4808,977,3141,85,228,6,690,11689
61.09,4833,816,3519,51,118,3,670,9945
61.10,5619,1539,3472,116,233,4,716,15193
61.11,4461,1579,2343,116,293,1,481,3804
61.12,2214,599,1355,56,98,3,331,2223
61.13,3528,1610,1728,78,170,13,228,3502
61.14,4374,1118,2678,71,181,4,731,6225
61.15,3330,961,2083,85,211,3,276,1223
62.08,3471,2892,362,74,155,1,314,123
62.09,4870,4030,624,85,188,4,350,120
62.10,4744,4082,393,97,263,9,282,201
62.11,6457,5597,498,73,340,3,410,172
62.12,3749,2695,707,54,322,10,295,148
62.14,4263,3667,442,84,130,6,290,191
62.16,2062,1931,41,25,60,3,83,107
62.17,3661,3368,161,47,115,2,149,209
62.18,2853,2715,76,33,101,1,108,143
62.19,2341,2188,65,25,89,6,98,125
62.20,2960,2788,99,50,77,3,97,154
62.21,3865,3126,532,69,183,2,304,150
62.22,3976,3180,583,71,178,2,236,173
62.23,2684,1864,655,46,83,3,297,163
62.24,3395,2066,576,86,176,1,868,133
63.05,3824,2653,861,57,350,4,174,171
63.06,1744,1343,278,39,108,5,152,97
63.07,5792,4097,1224,91,374,6,415,249
63.08,4247,3697,352,62,227,1,185,124
63.09,2251,1384,450,46,61,3,499,92
63.10,2911,2313,281,58,173,1,414,126
63.11,4373,4019,224,90,150,9,276,170
64.03,6588,5584,606,102,371,3,412,252
64.04,7065,6539,237,77,285,9,402,250
64.07,3734,3039,405,60,197,4,392,147
64.08,2969,2527,279,65,113,4,185,130
64.09,3623,3228,272,46,158,4,110,180
64.10,3531,3019,313,70,126,6,318,159
64.11,2915,2243,413,53,82,0,325,204
9801,0,0,0,0,0,0,0,81
9802,6,2,2,1,3,0,2,316
9803,57,38,7,3,10,0,7,218
