tract_name,total_requests,Non_RECYCLABLE_ITEMS,RECYCLABLE_ITEMS,HNS_HEALTH,CART_REPAIR,MISSED_RECYCLING
56.26,7376,2931,881,318,190,378
56.27,15331,7690,2247,519,435,287
57.09,209,0,0,0,0,0
57.1,2324,1053,296,116,59,50
57.12,206,0,0,1,0,0
57.13,184,0,0,1,0,0
57.14,282,0,0,2,0,0
57.15,196,0,0,8,0,0
57.16,8883,4987,1386,288,301,113
57.18,195,0,0,2,0,0
57.19,165,0,0,6,0,0
57.2,127,0,0,4,0,0
57.21,213,0,0,0,0,0
57.22,177,0,0,0,0,0
57.23,2742,1429,372,144,76,35
58.11,13669,8240,1570,576,294,282
58.15,8319,4863,995,198,252,273
58.16,7942,4807,923,131,274,174
58.17,10381,6533,1281,186,252,215
58.24,3782,1904,404,176,68,40
58.26,8276,4802,1124,373,157,169
58.27,5195,2990,687,234,71,98
58.28,9170,5997,1065,109,253,114
58.29,466,231,54,27,6,25
58.3,11903,7588,1658,401,234,129
58.32,4567,2791,540,20,92,137
58.33,622,247,56,0,11,2
58.34,241,0,0,1,0,0
58.35,129,0,0,0,0,0
58.36,148,0,0,10,0,0
58.39,3807,2308,529,91,66,37
58.4,2919,1854,371,28,61,58
58.43,4341,2333,448,102,112,105
58.45,5713,3317,703,133,220,77
58.46,6656,4079,761,66,320,114
58.47,8858,5012,999,139,163,331
58.48,9903,6460,1362,108,235,160
58.49,5690,3302,771,106,199,102
58.5,2416,1125,199,28,53,53
58.51,7853,5025,1175,101,229,60
58.52,3592,2286,436,89,93,82
58.53,2934,1546,297,100,68,142
58.54,1344,773,150,47,42,24
58.55,4686,2269,460,84,178,91
58.56,1661,954,198,35,61,31
58.57,1052,466,88,13,76,62
58.58,3591,1584,358,66,160,88
58.59,4317,2486,432,162,130,133
58.6,2987,1585,315,36,89,96
58.61,4541,3064,588,66,124,27
58.62,5834,3726,785,95,146,93
58.63,5259,3050,661,59,286,124
58.64,5683,3389,581,148,257,171
58.65,1310,711,129,20,36,49
58.66,1200,603,151,30,0,5
58.67,68,0,0,0,0,0
58.68,113,0,0,0,0,0
59.08,300,0,0,5,0,7
59.1,5059,2930,828,150,170,76
59.13,14123,8002,2128,607,403,204
59.15,537,154,20,83,0,2
59.16,4761,2590,710,283,84,57
59.18,10721,5014,1291,273,306,167
59.19,534,0,0,40,0,0
59.2,261,0,0,28,0,0
59.21,2130,699,116,171,24,0
59.22,9593,5301,1314,267,371,203
59.23,7567,3427,812,149,209,186
59.24,8118,4822,1264,165,336,65
59.25,2438,1307,286,49,72,45
59.26,808,0,0,12,0,0
59.27,5212,2954,741,249,126,51
59.28,2528,1118,329,201,67,76
59.29,4497,2566,576,159,190,65
59.3,4471,2511,613,176,144,75
59.31,6484,3909,953,170,178,91
59.32,3411,1910,458,81,108,42
6,2600,1158,295,149,16,66
60.05,4821,2533,734,168,93,106
60.08,9683,5432,1533,308,309,123
60.09,9213,4499,1347,571,243,145
60.11,9052,4330,1068,385,155,151
60.12,13598,6985,2076,902,314,165
60.13,7410,3590,1061,317,242,102
60.14,7294,3723,930,292,250,179
60.15,11540,6081,1722,721,353,144
60.16,8767,4609,1319,562,228,109
61.03,4196,2063,516,84,217,47
61.05,4423,2460,694,175,136,58
61.08,11689,6217,2013,532,454,100
61.09,9945,4764,1491,522,262,193
61.1,15193,7413,2147,867,388,263
61.11,3804,1822,490,177,74,60
61.12,2223,1159,309,82,99,16
61.13,3502,1919,512,98,194,38
61.14,6225,3349,990,213,256,100
61.15,1223,675,93,32,0,7
62.08,123,0,0,0,0,0
62.09,120,0,0,0,0,0
62.1,201,0,0,0,0,0
62.11,172,0,0,0,0,0
62.12,148,0,0,1,0,0
62.14,191,0,0,0,0,0
62.16,107,0,0,0,0,0
62.17,209,0,0,0,0,0
62.18,143,0,0,0,0,0
62.19,125,0,0,0,0,0
62.2,154,0,0,0,0,0
62.21,150,0,0,0,0,0
62.22,173,0,0,0,0,0
62.23,163,0,0,1,0,0
62.24,133,0,0,0,0,0
63.05,171,0,0,1,0,0
63.06,97,0,0,1,0,0
63.07,249,0,0,2,0,0
63.08,124,0,0,1,0,0
